flat_type,price,address,buildup_area,avg_price_sqft,age_of_property,possesion_status,which_floor,facing,furnicing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
3 BHK Flat,5.6 Cr,"Lodha Primero, Adarsh Nagar, Lower Parel, Mumbai",1206 sq.ft,₹46.43 K/sq.ft,6 Year Old,Ready to move,Middleof 40 floors,Unfurnished,,Lodha Primero,5.6 LacsAccess Zero Brokerage Properties,1049 sq.ft,3,3,1,2 Covered Parking,"3bhk builder finished flat for sale in Lodha primerio lower parel with 2 parkings  More About This Property Looking for a 3 BHK Flat for sale in Mumbai? Your search ends here. Buy this 3 BHK property in Mumbai's finest location, Lower Parel. It is onRead More"
1 BHK Flat,75.0 L,"excellent tower, P&T Staff Colony, Mulund West, Mumbai",460 sq.ft,₹16.30 K/sq.ft,1 Years Old,Ready to move,Higherof 26 floors,Unfurnished,,"75,000Access Zero Brokerage Properties",75.0 L,1,2,No Balcony,28 days ago,1 Open Parking,"1 BHK Flat for sale in Mulund West, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Mulund West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Mulund Read More"
4 BHK Flat,4.48 Cr,"Wadhwa TW Gardens, Thakur Village, Kandivali East, Mumbai",1500 sq.ft,₹29.89 K/sq.ft,Ready to move,East facing,East facingFacing,,,Wadhwa TW Gardens,5.0 LacsAccess Zero Brokerage Properties,1200 sq.ft,4,4,No Balcony,2 Covered Parking,"Premium Ammenities that resonate a global life style. Relax Unwind in well spread layout More About This Property Looking for a 4 BHK Flat for sale in Mumbai? Your search ends here. Buy this 4 BHK property in Mumbai's finest location, Kandivali East.Read More"
3 BHK Flat,2.95 Cr,"Godrej Central, Sai Baba Nagar, Chembur, Mumbai",1450 sq.ft,₹20.34 K/sq.ft,5 Year Old,Ready to move,Higherof 15 floors,Semi Furnished,,Godrej Central,2.9 LacsAccess Zero Brokerage Properties,1164 sq.ft,3,3,1,2 Covered Parking,"Introducing a stunning 3  BHK apartment available for rent in the vibrant locality of Chembur, Mumbai.
Nestled in the remarkable Godrej Central project, this semi-furnished apartment is perfect for those seeking a comfortable and luxurious living expRead More"
2 BHK Flat,2.05 Cr,"Vision Heights, Khan Estate, Jogeshwari West, Mumbai",923 sq.ft,₹22.21 K/sq.ft,4 Year Old,Ready to move,Lowerof 24 floors,Unfurnished,,Vision Heights,2.0 LacsAccess Zero Brokerage Properties,803 sq.ft,2,2,No Balcony,No Parking,"2 BHK Flat for sale in Jogeshwari West, Mumbai - contact now, for details about the most coveted property. This 2 BHK unit is available in Jogeshwari West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer inRead More"
1 BHK Flat,3.5 Cr,"Sunkersett Palace, Javji Dadaji Marg, Tardeo, Mumbai",570 sq.ft,₹61.40 K/sq.ft,15 Year Old,Ready to move,Higherof 16 floors,Semi Furnished,,7.0 LacsAccess Zero Brokerage Properties,3.5 Cr,1,2,1,More than a month ago,1 Covered Parking,"Available 1 BHK Residential Property for sale in Shankarsett Palace. Located at Nana chowk. It's a semi furnished flat along with Kitchen cabinets, Wardrobes, AC, etc..... Having an approximately  area 550 sq ft carpet and 1 car parking allowed  . AsRead More"
1 BHK Flat,71.0 L,"Kannamwar Nagar II, Vikhroli East, Mumbai",340 sq.ft,₹20.88 K/sq.ft,7 Year Old,Ready to move,Higherof 7 floors,,,Rajmata CHS,"70,000(Negotiable)Access Zero Brokerage Properties",340 sq.ft,1,1,No Balcony,1 Open Parking,"This is resale property available for affordable rate, located in nearby market, highway , bus depot........ More About This Property A 1 BHK Flat for sale in Vikhroli East, Mumbai. This beautifully designed 1 BHK unit with all the modern-day comfortRead More"
1 BHK Flat,85.0 L,"Vaibhavlaxmi Royal Stone, Tagore Nagar, Vikhroli East, Mumbai",396 sq.ft,₹21.46 K/sq.ft,1 Years Old,Ready to move,Higherof 23 floors,Semi Furnished,,Vaibhavlaxmi Royal Stone,"85,000Access Zero Brokerage Properties",396 sq.ft,1,2,No Balcony,No Parking,"Looking for a good 1 BHK Flat in Vikhroli East, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 17. Total number of floors is 23. This Flat is available for Rs 85.0 L. This modern unit has a built-up area Read More"
3 BHK Flat,3.82 Cr,"K Raheja Interface Heights, Mindspace, Malad West, Mumbai",1150 sq.ft,₹33.22 K/sq.ft,8 Year Old,Ready to move,Higherof 20 floors,Semi Furnished,,K Raheja Interface Heights,3.8 LacsAccess Zero Brokerage Properties,925 sq.ft,3,3,2,No Parking,"3 BHK Flat for sale in Mumbai. This property is in Malad West, which is a coveted investment location. This tastefully designed 3 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 18. The toRead More"
1 BHK Flat,43.99 L,"Joyville Virar, Bolinj, Virar West, Mumbai",690 sq.ft,₹6.38 K/sq.ft,1 Years Old,Ready to move,Lowerof 23 floors,Semi Furnished,,Joyville Virar,"88,000Access Zero Brokerage Properties",437 sq.ft,1,1,2,1 Open Parking,"Supermarkets, Fishmarkets, Vegetable Markets are Nearby School, Location is Nearby to Auto Stand. & VVMC Bus Stand  More About This Property 1 BHK Flat for sale in Virar West, Mumbai - contact now, for details about the most coveted property. This 1 Read More"
2 BHK Flat,1.95 Cr,"Sheth Vasant Blossom, Marol, Andheri East, Mumbai",1120 sq.ft,₹17.41 K/sq.ft,2 BHK,"31st Jul, 2024",Middleof 25 floors,Unfurnished,,Sheth Vasant Blossom,No ChargeAccess Zero Brokerage Properties,707 sq.ft,2,2,No Balcony,2 Covered Parking,"This property is located at Marol, Vasant blossom, primed with all amenities. This is a huge project and has over the top amenities. To visit the apartment please call us. More About This Property One of the finest property in Andheri East is now avaRead More"
3 BHK Flat,2.75 Cr,"Sunteck City Avenue 1 Phase 2, Somani Gram, Goregaon West, Mumbai",1200 sq.ft,₹22.92 K/sq.ft,Ready to move,North-East facing,North-East facingFacing,,,Sunteck City Avenue 1 Phase 2,1.0 LacAccess Zero Brokerage Properties,902 sq.ft,3,3,1,1 Covered Parking,"Best 3 BHK Flat for modern-day lifestyle is now available for sale. Grab this 3 BHK property for sale in one of Mumbai's top location, Jogeshwari West. It is situated on floor 12. The total number of floors in this Flat is 38. The property price of tRead More"
3 BHK Flat,6.0 Cr,"Sheth Beaumonte Tower B Phase 1 Building No 10, Sion East, Sion, Mumbai",1400 sq.ft,₹42.86 K/sq.ft,3 Year Old,Ready to move,Middleof 41 floors,Unfurnished,,Sheth Beaumonte Tower B Phase 1 Building No 10,6.0 LacsAccess Zero Brokerage Properties,1278 sq.ft,3,3,3,1 Covered and 1 Open Parking,"Looking for a 3 BHK Flat for sale in Mumbai? Your search ends here. Buy this 3 BHK property in Mumbai's finest location, Antop Hill. It is on floor 22 out of 41 floors. This Flat is available at a reasonable price of Rs 6.0 Cr. Maintenance charges inRead More"
2 BHK Flat,1.3 Cr,"Kannamwar Nagar I, Vikhroli East, Mumbai",750 sq.ft,₹17.33 K/sq.ft,2 Year Old,Ready to move,Middleof 23 floors,,,1.3 LacsAccess Zero Brokerage Properties,1.3 Cr,2,2,No Balcony,19 days ago,1 Covered Parking,"2 BHK Flat for sale in Mumbai. This property is in Vikhroli East, which is a coveted investment location. This tastefully designed 2 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 14. TheRead More"
2 BHK Flat,2.6 Cr,"Hubtown Seasons, Sindhi Society, Chembur, Mumbai",1058 sq.ft,₹24.57 K/sq.ft,1 Years Old,Ready to move,Lowerof 14 floors,Semi Furnished,,Hubtown Seasons,No ChargeAccess Zero Brokerage Properties,855 sq.ft,2,2,1,1 Covered Parking,"Hubtown Seasons is a gated township surrounded by a 10-acre old forest with 18 exclusive forest themed towers. It offers spacious designed apartments with 2, 3 and 4 bed residences. The multistoried towers here are not just designed to view the foresRead More"
2 BHK Flat,1.85 Cr,"A And O F Residences, Kurar Village, Malad East, Mumbai",1200 sq.ft,₹15.42 K/sq.ft,1 Years Old,Ready to move,Lowerof 36 floors,Unfurnished,,A And O F Residences,1.9 LacsAccess Zero Brokerage Properties,729 sq.ft,2,2,No Balcony,1 Covered Parking,F RESIDENCE. 2 BHK NEW BUILDING OC RECEIVED.WITH ALL AMENITIES.NEW BUILDING.BEST OPTIONS GOOD LOCATION.729 CARPET. SALE PRICE.185 CR FLAT COST. NEGOTIABLE.1 CAR PARKING. READY TO MOVE.MOR3 SIMILAR OPTIONS AVAILABLE MALAD TO GOREGAON EAST. PHOTO AVAILRead More
2 BHK Flat,2.3 Cr,"K Raheja Interface Heights, Mindspace, Malad West, Mumbai",1150 sq.ft,₹20 K/sq.ft,7 Year Old,Ready to move,Lowerof 20 floors,Unfurnished,,K Raheja Interface Heights,2.3 LacsAccess Zero Brokerage Properties,805 sq.ft,2,2,3,1 Open Parking,"INTERFACE HEIGHTS  2  BHK  FOR  SALE    in the heart of   MALAD     West. . One of the best buildings in MALAD  WEST  . . A Serene residential environment for your family, away from the noise and pollution, yet remarkable close to the city. The apartRead More"
2 BHK Flat,59.0 L,"Agarwal Paramount, Global City, Virar West, Mumbai",1085 sq.ft,₹5.44 K/sq.ft,2 Year Old,Ready to move,Middleof 14 floors,Semi Furnished,,Agarwal Paramount,"59,000Access Zero Brokerage Properties",615 sq.ft,2,2,3,1 Open Parking,"2 BHK Flat for sale in Virar West, Mumbai with modern-day amenities. The Flat is in Virar West which is a promising investment destination in Mumbai. This might be your chance to grab the best 2 BHK property for sale in Virar West. The property is onRead More"
2 BHK Flat,88.0 L,"Tanvi Eminence I, MIDC, Mira Road East, Mumbai",1010 sq.ft,₹8.71 K/sq.ft,3 Year Old,Ready to move,Lowerof 18 floors,Semi Furnished,,Tanvi Eminence I,1.5 LacsAccess Zero Brokerage Properties,720 sq.ft,2,2,3,1 Covered Parking,"Mountain facing flat with modular kitchen and one car parking up coming metro station  More About This Property Property for sale in Mira Bhayandar, Mumbai. This 2 BHK Flat is located in Mumbai's most promising location. It is on floor 6. The total nRead More"
1 BHK Flat,47.5 L,"New Mhada Complex, Srishti Complex, Mira Road East, Mumbai",333 sq.ft,₹14.26 K/sq.ft,9 Year Old,Ready to move,Middleof 18 floors,,,New Mhada Complex,1.0 LacAccess Zero Brokerage Properties,333 sq.ft,1,2,No Balcony,1 Open Parking,"Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Mira Bhayandar. It is on floor 11 out of 18 floors. This Flat is available at a reasonable price of Rs 47.5 L. The built up area Read More"
1 BHK Flat,62.0 L,"Arkade Art, Chandan Shanti, Mira Road East, Mumbai",650 sq.ft,₹9.54 K/sq.ft,5 Year Old,Ready to move,Middleof 15 floors,Unfurnished,,Arkade Art,"90,000(Negotiable)Access Zero Brokerage Properties",410 sq.ft,1,2,2,No Parking,"Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Mira Bhayandar. It is on floor 10 out of 15 floors. This Flat is available at a reasonable price of Rs 62.0 L. The built up area Read More"
1 BHK Flat,1.1 Cr,"Kolte Patil Vaayu, Kandarpada, Dahisar West, Mumbai",560 sq.ft,₹19.64 K/sq.ft,Ready to move,North facing,North facingFacing,,,Kolte Patil Vaayu,1.1 LacsAccess Zero Brokerage Properties,440 sq.ft,1,2,No Balcony,1 Covered Parking,One of the finest property in Dahisar West is now available for sale. This is a 1 BHK Flat. Make it yours now. It is on floor 2. It is a 18 storeyed building. The price of this Flat is Rs 1.1 Cr. Other charges when you move into this property includeRead More
1 BHK Flat,1.1 Cr,"Mahakali Nagar, Mulund East, Mumbai",500 sq.ft,₹22 K/sq.ft,10 Year Old,Ready to move,Middleof 6 floors,Semi Furnished,,Laxmi Residency,1.1 LacsAccess Zero Brokerage Properties,500 sq.ft,1,2,No Balcony,No Parking,"Available 1 BHK flat for sale in Gavanpada Mulund East.
Carpet 500 sqft
Middle Floor, No Parking
With Lift, Semi Furnished - Modular Kitchen, Gas pipe line, AC, 
Near by Mulund Station, Fish market, east - west bridge    More About This Property A 1 Read More"
3 BHK Flat,2.78 Cr,"Kalpataru Aura, Ghatkopar West, Mumbai",1120 sq.ft,₹24.82 K/sq.ft,6 Year Old,Ready to move,Middleof 20 floors,Semi Furnished,,Kalpataru Aura,No ChargeAccess Zero Brokerage Properties,835 sq.ft,3,3,No Balcony,1 Covered Parking,"The project offers apartment with perfect combination of contemporary architecture and features to provide comfortable living. Kalpataru aura offers facilities such as gymnasium and lift. It also has amenities like basketball court, lawn tennis courtRead More"
3 BHK Flat,4.18 Cr,"Skyline Magnus, Pant Nagar, Ghatkopar East, Mumbai",1610 sq.ft,₹25.96 K/sq.ft,1 Years Old,Ready to move,Higherof 12 floors,Semi Furnished,,Skyline Magnus,No ChargeAccess Zero Brokerage Properties,1400 sq.ft,3,3,1,No Parking,"3 BHK Flat for sale in Mumbai. This property is in Ghatkopar East, which is a coveted investment location. This tastefully designed 3 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 7. TheRead More"
1 BHK Flat,1.25 Cr,"Satellite Satellite Tower, Gokuldham, Goregaon East, Mumbai",650 sq.ft,₹19.23 K/sq.ft,10 Year Old,Ready to move,Middleof 7 floors,Semi Furnished,,Satellite Satellite Tower,1.3 LacsAccess Zero Brokerage Properties,500 sq.ft,1,2,1,1 Open Parking,"We are offering you Nicely Done up Semi Furnished 1Bhk apartment with 2 washrooms at Satellite Tower/Building, Goregaon East  More About This Property 1 BHK Flat for sale in Goregaon East, Mumbai - contact now, for details about the most coveted propRead More"
1 BHK Flat,45.0 L,"Seven Eleven Apna Ghar, Kashimira, Mira Road East, Mumbai",396 sq.ft,₹11.36 K/sq.ft,1 Years Old,Ready to move,Lowerof 15 floors,Unfurnished,,Seven Eleven Apna Ghar,No ChargeAccess Zero Brokerage Properties,1,1,2,19 days ago,1 Open Parking,"1 BHK Flat for sale in Mira Bhayandar, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Mira Bhayandar and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in MRead More"
2 BHK Flat,1.86 Cr,"BLUE DIA, I C Colony, Borivali West, Mumbai",825 sq.ft,₹22.54 K/sq.ft,17 Year Old,Ready to move,Middleof 7 floors,Fully Furnished,,2.0 Lacs(Negotiable)Access Zero Brokerage Properties,1.86 Cr,2,2,No Balcony,25 days ago,1 Covered Parking,"Fully done up 2 bhk apartment for sale. Apartment is located in heart of borivali west near IC Colony. 

Very easy to access east-west connectivity and METRO.

Location : Near IC Colony, Borivali West. More About This Property 2 BHK Flat for sale in Read More"
1 BHK Flat,35.0 L,"Crystal Empire, Yashvant Viva TownShip, Nalasopara East, Mumbai",690 sq.ft,₹5.07 K/sq.ft,1 Years Old,Ready to move,Middleof 14 floors,,,Crystal Empire,"70,000(Negotiable)Access Zero Brokerage Properties",460 sq.ft,1,1,3,1 Open Parking,"A 1 BHK Flat for sale in Nalasopara East, Mumbai. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Nalasopara East's most desired properties. Contact now for more information. This 1 BHK unit is on floor 6. There are 14Read More"
2 BHK Flat,1.7 Cr,"Lok Everest, Ashok Nagar, Mulund West, Mumbai",1100 sq.ft,₹15.45 K/sq.ft,15 Year Old,Ready to move,Higherof 16 floors,Unfurnished,,Lok Everest,No ChargeAccess Zero Brokerage Properties,899 sq.ft,2,2,1,1 Open Parking,"Discover this beautiful 2BHK apartment in Lok Everest, Mulund West. With approximately 1000 sq ft of carpet area, it offers spacious living. The highlight is the expansive balcony garden, perfect for leisurely evenings. Enjoy fantastic amenities likeRead More"
2 BHK Flat,1.06 Cr,"Lodha Splendora Platino D, Bhayandarpada, Thane West, Mumbai",900 sq.ft,₹11.78 K/sq.ft,5 Year Old,Ready to move,Middleof 22 floors,Unfurnished,,Lodha Splendora Platino D,1.1 LacsAccess Zero Brokerage Properties,750 sq.ft,2,2,1,1 Covered Parking,"This is your chance to own a 2 bhk residential apartment in lodha splendora, ghodbunder road, mumbai thane, mumbai where luxury comes with affordability.


Basic details:


You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, Read More"
1 BHK Flat,1.7 Cr,"Saifee Park, Mumbai Port Trust, Mazgaon, Mumbai",520 sq.ft,₹32.69 K/sq.ft,5 Year Old,Ready to move,Lowerof 23 floors,Semi Furnished,,1.7 LacsAccess Zero Brokerage Properties,1.7 Cr,1,2,No Balcony,5 days ago,1 Open Parking,"Located at Dr. Mascernaus Road in Mazgoan. 400sq ft carpet Approx. It has 4 wings A, B, C & D. All wings have separate entry & lobby. All wings have 2 Lifts each. It's a residential building. Building has security guard, 2 wheeler bike Parking and ccRead More"
3 BHK Flat,5.6 Cr,"Sanghvi Evana, Lower Parel, Mumbai",1580 sq.ft,₹35.44 K/sq.ft,2 Year Old,Ready to move,Higherof 27 floors,Semi Furnished,,Sanghvi Evana,5.6 LacsAccess Zero Brokerage Properties,1350 sq.ft,3,4,2,1 Covered and 1 Open Parking,"Sanghvi Evana in Mumbai is an outstanding residential development. The apartments are well-designed, spacious, and provide a pleasant living environment.  More About This Property Check out this 3 BHK Flat for sale in Lower Parel, Mumbai. This 3 BHK Read More"
3 BHK Flat,4.68 Cr,"Oberoi sky city Borivali East, Siddharth Nagar, Borivali East, Mumbai",1515 sq.ft,₹30.89 K/sq.ft,1 Years Old,Ready to move,Lowerof 62 floors,Unfurnished,,4.7 LacsAccess Zero Brokerage Properties,4.68 Cr,3,3,No Balcony,More than a month ago,2 Covered Parking,"Brand New Untouched 3 Bhk Multistory residential apartment with all modern amenities and 2 car parking is available for Sale at Oberoi Sky City Dattapada Road W E Highway Borivali East Mumbai. Walking distance to school, college, hospital, market andRead More"
